STATE/UT,DISTRICT,THEFT,HURT/GREVIOUS HURT,OTHER THEFT,AUTO THEFT,BURGLARY
A & N ISLANDS,A and N ISLANDS,112,99,104,8,90
A & N ISLANDS,ANDAMAN,918,910,841,77,708
A & N ISLANDS,CAR,4,4,4,0,0
A & N ISLANDS,NICOBAR,23,34,23,0,23
A & N ISLANDS,NORTH,13,8,13,0,6
A & N ISLANDS,SOUTH,54,50,54,0,65
A&N Islands,CAR,1,2,1,0,1
A&N Islands,NORTH,7,17,7,0,5
A&N Islands,SOUTH,29,36,27,2,36
ANDHRA PRADESH,ADILABAD,3964,16392,3209,755,2519
ANDHRA PRADESH,ANANTAPUR,6079,17682,4343,1736,2536
ANDHRA PRADESH,CHITTOOR,11077,13543,8257,2820,2777
ANDHRA PRADESH,CUDDAPAH,4530,14301,3247,1283,1549
ANDHRA PRADESH,CYBERABAD,29665,32697,18823,10842,11946
ANDHRA PRADESH,EAST GODAVARI,13533,31514,10469,3064,5069
ANDHRA PRADESH,GUNTAKAL RLY.,2091,75,2091,0,0
ANDHRA PRADESH,GUNTUR,13165,22209,10583,2582,3509
ANDHRA PRADESH,GUNTUR URBAN,2497,2398,1548,949,416
ANDHRA PRADESH,HYDERABAD CITY,56167,47343,35217,20950,13435
ANDHRA PRADESH,KARIMNAGAR,7588,31334,6249,1339,3258
ANDHRA PRADESH,KHAMMAM,6006,18111,4524,1482,2717
ANDHRA PRADESH,KRISHNA,7002,27498,6025,977,2392
ANDHRA PRADESH,KURNOOL,4921,19228,3876,1045,2494
ANDHRA PRADESH,MAHABOOBNAGAR,9043,19861,8823,220,3014
ANDHRA PRADESH,MEDAK,6273,21372,4959,1314,3440
ANDHRA PRADESH,NALGONDA,5917,19199,4625,1292,2838
ANDHRA PRADESH,NELLORE,8623,24134,6397,2226,2934
ANDHRA PRADESH,NIZAMABAD,6027,21756,4730,1297,3496
ANDHRA PRADESH,PRAKASHAM,5132,17332,3886,1246,2248
ANDHRA PRADESH,RAJAHMUNDRY,1095,2104,841,254,354
ANDHRA PRADESH,RANGA REDDY,4260,13892,3207,1053,3266
ANDHRA PRADESH,SECUNDERABAD RLY.,4819,138,4819,0,6
ANDHRA PRADESH,SRIKAKULAM,2580,13049,2476,104,1437
ANDHRA PRADESH,TIRUPATHI URBAN,2105,2077,1338,767,487
ANDHRA PRADESH,VIJAYAWADA,12278,9360,10610,1668,3101
ANDHRA PRADESH,VIJAYAWADA CITY,9425,11687,6200,3225,1663
ANDHRA PRADESH,VIJAYAWADA RLY.,4227,146,4221,6,2
ANDHRA PRADESH,VISAKHA RURAL,2260,14824,2110,150,1241
ANDHRA PRADESH,VISAKHAPATNAM,11456,8827,8099,3357,3925
ANDHRA PRADESH,VIZIANAGARAM,2610,7865,2602,8,1376
ANDHRA PRADESH,WARANGAL,5847,18544,4395,1452,3247
ANDHRA PRADESH,WARANGAL URBAN,1081,2136,868,213,475
ANDHRA PRADESH,WEST GODAVARI,13847,23937,10879,2968,4169
ARUNACHAL PRADESH,ANJAW,12,19,12,0,11
ARUNACHAL PRADESH,CHANGLANG,378,398,374,4,238
ARUNACHAL PRADESH,DIBANG VALLEY,273,298,233,40,133
ARUNACHAL PRADESH,K/KUMEY,58,73,56,2,55
ARUNACHAL PRADESH,KAMENG EAST,201,419,186,15,149
ARUNACHAL PRADESH,KAMENG WEST,214,290,194,20,105
ARUNACHAL PRADESH,LOHIT,391,349,359,32,206
ARUNACHAL PRADESH,PAPUM PARE,1439,858,757,682,579
